date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2018-01-25,18036760.1984,12707781.2839,3532,3240296960,193.06,65369400,1787.49999999,0.78378335,12465,3002174.94617,10496,241.633148858,1.213E-05,3166549,143
2018-01-26,20554469.6866,17462180.387,3282,3133805312,186.69,90095696,1974.99999996,0.62125433,13112,3047751.71149,11372,248.425675995,1.526E-05,3096645,158
2018-01-27,12082200.9074,9674724.62901,2905,3049247744,181.63,55528300,1924.99999998,0.4954337,12550,3033698.61835,10786,262.179032648,1.214E-05,2930916,154
2018-01-28,19288997.9218,16421726.7503,3303,3136398080,186.8,130075000,1899.99999996,0.52352556,11272,2962574.12375,8612,277.950403092,1.376E-05,2705437,152
2018-01-29,19255179.4159,16619254.4502,3032,3171783424,188.89,49388600,1912.49999998,0.44065277,14711,3072447.98591,10678,330.264881056,1.25E-05,6778615,153
2018-01-30,26608039.3881,24737089.0916,2968,3061917184,182.33,47888900,1812.49999999,0.32100841,10398,3239592.4069,8861,446.517172015,1.129E-05,2345737,145
2018-01-31,21624960.1712,18342592.1325,2764,2659444992,158.35,56636600,2087.49999997,0.47398232,10862,3047585.15853,10883,396.362678412,1.214E-05,2563010,167
2018-02-01,20958722.7452,17371268.7848,3362,2635294976,156.89,51720700,1837.49999997,0.46910224,12105,3063561.67092,11119,271.699133641,1.93E-05,3042337,147
2018-02-02,14978629.6278,13244216.0945,2918,2148411648,127.89,84321296,1862.49999995,0.46302221,11003,2766794.77474,11115,296.120503841,1.865E-05,2762728,149
2018-02-03,7597206.20451,6525105.91167,2298,1850862208,110.16,42576100,2062.49999998,0.31148909,8672,2667629.01627,9995,232.381777522,1.6E-05,2084387,165
2018-02-04,7650897.51467,6663847.8205,2142,1909447040,113.64,52606600,1987.49999999,0.30574422,8031,2842255.64955,10001,237.64614307,1.227E-05,1944874,159
2018-02-05,9251608.81666,7781633.67769,2903,1696000000,100.92,33394900,1862.49999996,0.31678445,10206,2816967.63347,9848,180.69337458,1.93E-05,2316804,149
2018-02-06,16575689.9445,15271092.4319,2499,1433166080,85.27,47319600,2087.49999998,0.34619871,9788,2599641.13213,9835,257.841291708,1.249E-05,2353597,167
2018-02-07,16579371.2381,13290672.3316,2227,1556436224,92.6,35079700,1812.49999998,0.24203883,8193,2727316.10565,8146,193.117685216,1.249E-05,2134881,145
2018-02-08,15923094.1734,14724166.3203,2174,1472269312,87.58,95463000,2024.99999997,0.29907763,7881,2555051.00404,9361,238.677536004,1.87E-05,1998778,162
2018-02-09,18083241.2268,15301034.7926,2883,1747087744,103.91,110290000,1762.49999997,0.42373522,11580,2957418.86179,9029,357.595364841,1.93E-05,3135892,141
2018-02-10,13896080.8473,11888987.205,2770,2779924480,165.33,72058400,1974.99999997,0.31020908,9880,3348431.72851,9925,412.844585739,1.525E-05,2347437,158
2018-02-11,6458546.41644,5083897.61152,1958,2183775232,129.86,53976000,1999.99999998,0.34387012,9009,2796510.61483,8542,198.44735886,1.582E-05,5427991,160
2018-02-12,6488140.04861,5444196.32074,2253,2076469504,123.46,32417600,2050,0.2556619,8551,2806137.67566,8995,252.829067212,1.41E-05,1918041,164
2018-02-13,7790512.33177,7007474.74668,2219,1941270400,115.41,84443104,1912.49999993,0.73869275,11529,2982001.12008,7009,277.407244247,1.826E-05,4019193,153
2018-02-14,8383036.36344,7203486.19379,2417,2046054272,121.63,84193696,1712.49999999,0.50007434,10459,2796694.5866,9853,219.16385759,1.865E-05,2442525,137
2018-02-15,7076824.8066,5952310.13931,2259,2156782336,128.19,52837400,2037.49999996,0.44316962,8512,2727247.36019,8057,256.375180056,1.228E-05,2081150,163
2018-02-16,8788254.58594,7624994.84752,2390,2225457408,132.26,83658704,2024.99999998,2.76687677,9045,2767557.18561,8643,208.292716206,1.93E-05,2402106,162
2018-02-17,5812530.35357,5052173.4945,2361,2374743040,141.13,53976000,2412.49999998,0.66557633,8562,2795062.80913,8209,216.038574946,1.558E-05,2818659,193
2018-02-18,7444930.84277,6236259.1232,2347,2415213312,143.5,65481300,2012.49999997,0.47847384,8537,3021724.51272,8559,169.01016146,1.92E-05,2023351,161
2018-02-19,7599015.70025,5436696.65437,2175,2214224640,131.54,43253800,2037.5,0.84404115,8377,2820076.19638,8625,202.463531998,1.671E-05,2766999,163
2018-02-20,104713604.745,102609476.898,13292,2376921088,141.19,52897600,2262.49999999,1.26081788,20093,2852217.9315,8401,1.9183682966,1E-05,16493370,181
2018-02-21,7156875.78317,5989137.9143,1969,2224630016,132.13,40865000,1924.99999997,0.45329348,7953,3233265.24766,9193,241.314555247,1.93E-05,2210698,154
2018-02-22,20754624.2601,20009759.0846,1886,2075829120,123.28,42122500,1900,0.98367987,7951,3114388.47409,8221,226.033142786,1.93E-05,2145537,152
2018-02-23,5594848.15608,4779687.76463,1813,1999054336,118.7,46248700,2024.99990081,0.61024025,6912,3429383.23165,7116,186.935483168,1.93E-05,1878026,163
2018-02-24,6731181.22994,5566097.76364,1729,2086508544,123.89,24640700,1862.49999988,0.86347171,7708,3301227.21823,7599,198.612599569,1.93E-05,1998009,150
2018-02-25,7934973.15253,6353023.67763,1794,1984793984,117.83,19969000,1974.99999998,0.57265205,7358,3202575.91427,7728,252.79253031,1.93E-05,1694576,158
2018-02-26,7247523.50914,5821612.2179,1907,1940899712,115.21,24567900,1837.49999999,0.28362635,7935,3367723.89603,7178,223.159893229,1.93E-05,1916870,147
2018-02-27,11540845.7797,11095808.6792,2472,2019350144,119.85,36913200,2062.5,1.30799397,11250,3097652.79039,7630,313.861387044,1.584E-05,3567658,166
2018-02-28,15607459.6744,12299280.2842,4140,2028149888,120.36,21112300,1899.99999998,0.86581941,37333,3258659.51335,8211,29.4191302104,9.849E-05,20939209,152
2018-03-01,9981844.78303,7514417.59455,4093,1905436416,113.07,26936600,2162.49999997,0.57896304,34991,3315155.95517,8242,24.9817400736,9.849E-05,20933976,173
2018-03-02,76797750.6908,9147419.04447,4675,1914133888,113.57,30317000,1712.49999998,2.58719201,35832,3691981.8874,8235,22.8846650461,9.849E-05,22272386,137
2018-03-03,8502441.8811,6422272.59359,4618,1881287168,111.61,19943900,2087.49999998,0.97296976,35872,3190554.39009,9510,20.1130684528,9.849E-05,23592780,167
2018-03-04,4926283.60169,4227475.37407,4533,1882255616,111.65,19616800,2162.49999999,1.32989421,34260,3081405.0789,8665,18.3548681085,9.849E-05,29964123,173
2018-03-05,6555657.46556,5526780.5593,4644,1906274048,113.06,22328900,1812.49957855,1.37216546,37896,3152392.21573,7367,17.4471331582,9.849E-05,22710895,146
2018-03-06,8522340.32511,6963080.1508,4335,1867671168,110.76,25065500,2262.49999999,1.1350718,37632,3163884.06855,7386,16.155348378,9.849E-05,22005929,181
2018-03-07,8356103.06135,7020426.79725,4508,1738567296,103.09,28628100,1949.99999999,1.15931893,39051,3300245.18804,7198,13.1956787586,9.849E-05,21977452,156
2018-03-08,6607542.13644,5728708.13144,3577,1543256960,91.5,22878700,1949.99999999,1.35690454,29973,3111025.21482,7043,10.531753395,9.849E-05,16846973,156
2018-03-09,4904530.67267,4154607.44721,1901,1466934656,86.96,27151600,2249.99999997,0.94495557,7315,3110449.46112,7137,270.41020815,1.262E-05,1867096,180
2018-03-10,4938351.35101,3651845.53199,1700,1446155008,85.72,19514900,2149.99999998,0.84474171,7008,2953397.80549,6757,246.13464474,1.87E-05,1782006,172
2018-03-11,3537113.29434,2891065.99124,1529,1368071808,81.08,18510800,1749.99999999,0.72876194,6213,3173817.80928,6066,165.401635156,1.404E-05,1607181,140
2018-03-12,7361038.67792,6822620.20375,1539,1428882048,84.68,16334300,1862.49999999,0.77401173,6742,3041711.97465,6044,279.935005125,1.249E-05,1570850,149
2018-03-13,7126326.74739,6092203.40904,1604,1345497344,79.72,17303400,2137.49999999,0.6892623,7636,2857889.99884,7828,180.165753082,1.25E-05,2535248,171
2018-03-14,43307375.0845,33414903.2663,1881,1335083136,79.1,23511600,2224.99999999,1.11169941,7185,2841242.87406,6616,333.727797081,1.214E-05,1844614,178
2018-03-15,158449198.602,50535257.6133,2213,1156827136,68.53,31260500,2062.49999999,1.31956561,9545,2870687.44396,10186,665.315029895,1.323E-05,2356719,165
2018-03-16,296162082.091,87680048.572,1928,1118530432,66.25,28649700,1799.99999999,0.75909104,6798,2894601.06866,6875,331.884949275,1.214E-05,1898242,144
2018-03-17,42367475.3933,24159876.2832,1752,1067124672,63.2,15795900,1950,0.82503251,6810,2954218.33958,7798,323.563173072,1.214E-05,1937607,156
2018-03-18,16800030.1402,12059645.0561,1753,989678912,58.61,26012900,1637.49999997,0.71027113,6313,3281551.25491,6211,293.143820544,1.213E-05,1526284,131
2018-03-19,57703994.6626,35865535.9432,2228,1010314304,59.83,42187500,2087.5,0.81678977,7443,2723182.82862,8312,203.438997703,1E-05,1842668,167
2018-03-20,87268619.545,38768904.1387,2068,1155148544,68.39,42417800,2100,1.06035749,7429,2892241.96217,8177,276.587816792,1.003E-05,2332806,168
2018-03-21,210104422.954,61212497.802,4433,1120951296,66.36,32135500,2012.5,1.67113933,34918,2944574.07016,9404,6.9616968708,9.849E-05,21180757,161
2018-03-22,91544445.3638,59882133.2279,3925,1104114176,65.35,25006000,1824.99999997,0.84827047,36170,2993365.84857,7579,6.0427779185,9.849E-05,21060623,146
2018-03-23,166864584.6,51332193.0526,4081,1045033856,61.85,25689800,2037.5,1.10215405,33769,2748677.21376,8396,5.179729684,9.849E-05,21946435,163
2018-03-24,32170638.3028,23053616.8258,3839,1026142080,60.72,24780300,2037.5,0.90331787,23634,2813613.12819,8007,4.5480196872,9.849E-05,21629985,163
2018-03-25,6935896.84942,5984373.3823,2583,1014053184,60,19231100,2049.99999998,0.96094326,21782,2927837.17946,6906,5.517147,9.849E-05,11491496,164
2018-03-26,14407674.7093,11105192.8183,2230,1022779136,60.51,20747400,1887.49999998,0.65716996,12408,2969345.22438,7977,163.307308818,2.245E-05,6889932,151
2018-03-27,17492263.9771,13276046.8044,2610,954444992,56.46,14757300,1924.99999999,0.84461117,24870,2727912.4822,6205,35.469213687,9.71E-05,11916438,154
2018-03-28,14214196.7362,8749412.48032,2092,889811968,52.63,14219400,2299.99999999,0.87975871,11926,2562114.32239,6672,340.410260544,3.74E-05,7817762,184
2018-03-29,54436604.8788,12591323.0944,3526,899545856,53.2,16339100,1837.5,1.40065924,24473,2854994.15287,7071,34.4123402,9.849E-05,19382238,147
2018-03-30,3046054.99809,2425742.05769,3705,772804224,45.7,13761600,2349.99999999,0.9728308,34808,2608589.69367,7289,2.938347765,9.849E-05,21708746,188
2018-03-31,6804549.37348,4507824.57541,3411,752990016,44.52,7037180,2149.99999999,0.88182843,34810,2517718.67056,6870,2.6668152252,9.849E-05,21126305,172
2018-04-01,16864887.2576,8930536.30056,3498,750955200,44.4,8668900,1787.49999999,1.16841049,31417,2726924.43727,6631,2.410498644,9.849E-05,21553181,143
2018-04-02,2809823.48678,2215562.38362,3641,700666112,41.42,8366690,2324.99999999,0.96226229,33392,2416614.08114,7893,2.0813189646,9.849E-05,25111307,186
2018-04-03,4157631.04152,2986724.99433,3864,727916608,43.02,21330600,1687.5,1.03220455,33838,2767427.33779,7802,1.9998767628,9.849E-05,21648829,135
2018-04-04,7459302.69976,6408100.03584,3545,792658112,46.84,11470400,2049.99999998,1.03503192,33479,2586477.09939,7487,2.0110866416,9.849E-05,21389611,164
2018-04-05,6671318.41197,3801427.8452,3731,713157952,42.14,15492900,2375,1.2111007,32400,2183185.25678,6280,1.6560548032,9.849E-05,21440446,190
2018-04-06,6540844.93215,4995257.24049,2643,703937216,41.59,7731100,1974.99999999,0.48304773,23685,2538017.40108,6590,1.5380863708,9.849E-05,13295997,158
2018-04-07,2524835.47079,2120209.32419,1235,672738688,39.74,6153040,1812.49999999,0.51274874,5454,2528102.2826,5596,134.397419333,1.074E-05,1351527,145
2018-04-08,3014418.80778,2332763.01945,1235,697696064,41.21,5044870,2100,0.69474664,4898,2406189.34201,7100,131.158491296,1.213E-05,1396707,168
2018-04-09,7375333.35419,5503139.807,1316,712689280,42.09,8747160,2049.99999999,0.63580717,5831,2329467.87289,7538,204.382643162,1.085E-05,1453485,164
2018-04-10,3449661.51087,3038469.67788,1572,698010624,41.22,7640680,2237.5,0.69906157,11589,2289165.94212,6803,435.314556054,2.445E-05,4776568,179
2018-04-11,6008359.8524,4954854.40717,3011,691164288,40.81,13074500,1762.49999999,0.90820767,28584,2503783.04806,7590,1.4528976231,9.849E-05,15465675,141
2018-04-12,64418652.6264,12025234.7274,1703,718333824,42.41,30858900,1912.49999999,0.73543691,6670,2287197.46191,7770,301.564700908,9.66E-06,1807483,153
2018-04-13,6492827.59638,4825282.70854,1758,786202112,46.41,22189300,2162.5,0.86335934,6923,2185010.98329,6884,255.517068452,1.074E-05,1775162,173
2018-04-14,2401759.80883,1623909.62503,1426,764040960,45.1,10333700,1887.49999999,0.78505591,6158,2257802.95839,7026,135.299066881,1.214E-05,1540966,151
2018-04-15,3066772.8966,2459927.04209,1387,775518464,45.77,14013200,2187.5,0.68384301,5946,2108591.91253,6306,196.800022523,1.09E-05,1477741,175
2018-04-16,6536759.30752,5059074.35361,2207,829161728,48.93,63597200,1937.49999999,0.87332939,13721,2498505.00047,8009,184.096248895,1.558E-05,4633352,155
2018-04-17,7298207.57842,5921799.98113,4006,894223552,52.76,20651400,1975,1.23797154,62698,2449050.94249,8395,2.0377357624,0.00010543,44458864,158
2018-04-18,16796229.8424,11130083.6715,4046,866301184,51.11,26852500,2262.49999999,1.52914738,53784,2367926.38292,8199,1.8563565991,0.00010543,55316962,181
2018-04-19,5679101.20364,4493850.96312,3010,938127104,55.34,37101100,1837.49999999,1.0834604,23512,2574652.40846,7397,63.774704207,3.74E-05,32784337,147
2018-04-20,8119909.97859,6447755.87403,2082,1015290112,59.89,70074096,1862.5,0.79471351,8619,2483032.37369,7278,457.941116069,1.93E-05,2336994,149
2018-04-21,9643615.857,8199135.66523,2049,1185844480,69.94,48952400,2312.5,0.71558916,8989,2412895.2187,7573,305.134576105,1.3E-05,2608348,185
2018-04-22,4600747.12051,4058437.68847,1691,1130071424,66.64,25525000,1812.49999997,0.9705582,7650,2847842.94136,7783,226.575872051,1.3E-05,1878888,145
2018-04-23,24112375.1515,16421045.0553,2643,1116617728,65.84,114377000,2062.49999997,0.96458219,13296,2755827.89059,8426,461.368157512,1.225E-05,5653196,166
2018-04-24,37769879.9403,28074437.7288,3376,1322495488,77.97,148078000,1837.5,0.8958191,16350,3018419.88027,9534,632.267474335,1.107E-05,3893120,147
2018-04-25,16077098.632,12902928.5299,4088,1428344704,84.2,89533400,2112.49999999,1.15946366,28440,2700542.74502,8714,63.695139428,5.062E-05,16672992,169
2018-04-26,8391859.69898,7177673.81758,2090,1211113088,71.39,49274200,2037.5,1.06831949,9952,2655468.30286,7867,412.940947124,1.806E-05,3750288,163
2018-04-27,9577167.60171,8103561.64254,2139,1344732544,79.25,31251900,2087.49999999,0.85672074,15865,2570617.22199,8085,465.92630836,1.34E-05,5800035,167
2018-04-28,6185571.30856,5404136.86118,1809,1245573376,73.4,24300200,2162.5,0.80887721,8892,2600798.70174,7691,257.728066504,1.9E-05,3511488,173
2018-04-29,9697491.9057,8664928.73975,1920,1321075712,77.84,47669300,2149.99999998,0.73437426,9347,2624028.31611,7165,389.199551642,1.2E-05,3978304,172
2018-04-30,11257353.6256,7970656.73281,1982,1335353344,78.67,24958700,2012.49999999,0.67443363,9202,2669961.11472,7998,512.026926764,1.18E-05,3585566,161
2018-05-01,6044642.85589,4796424.72369,1623,1244078336,73.28,20320400,2099.99999999,0.5250817,8109,2432139.3804,7245,308.78586655,1.41E-05,3166743,168
2018-05-02,7987643.58094,5685618.10691,1862,1216440704,71.65,33903200,2075,0.57649846,9997,2528745.49168,7590,402.965519007,1.89E-05,3618396,166
2018-05-03,11523337.3711,8913433.29848,2130,1290693120,76.01,38523900,1987.5,0.72247506,9348,2647286.44741,8485,475.343220892,1.228E-05,3679789,159
